ID_URBS,NUMERO_LINHA,DESC_LINHA,URL_URBS,URL_GAZETA,URL_MOOVIT
201,475,CANAL BELÉM,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/475,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/canal-belem-475/,
142,628,CARBOMAFRA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/628,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/carbomafra-628/,
325,776,CARMELA DUTRA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/776,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/carmela-dutra-776/,
539,668,CASA DE CUSTÓDIA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/668,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/casa-de-custodia-668/,
33,224,CASSIOPÉIA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/224,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cassiopeia-224/,
316,659,CAXIMBA / OLARIA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/659,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caximba-olaria-659/,
339,305,CENTENÁRIO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/305,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-305/,
279,335,CENTENÁRIO / BOQUEIRÃO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/335,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-boqueirao-335/,
337,303,CENTENÁRIO / C. COMPRIDO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/303,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-campo-comprido-303/,
783,338,CENTENÁRIO / HAUER,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/338,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-hauer-338/,
338,302,CENTENÁRIO / RUI BARBOSA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/302,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-rui-barbosa-302/,
210,469,CENTRO POLITÉCNICO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/469,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centro-politecnico-469/,
1570,X32,CIC / CAPAO RASO,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cic-capao-raso-X32/,
2029,X32,CIC / CAPAO RASO,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cic-capao-raso-X32/,
2129,X32,CIC / CAPAO RASO,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cic-capao-raso-X32/,
802,601,CIC / TIRADENTES,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/601,,
1190,210,CIC/CABRAL,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/210,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cic-cabral-210/,
2025,210,CIC/CABRAL,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/210,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cic-cabral-210/,
2125,210,CIC/CABRAL,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/210,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cic-cabral-210/,
177,2,CIRCULAR CENTRO (ANTI-HORÁRIO),https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/002,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/circular-centro-anti-horario-002/,
176,1,CIRCULAR CENTRO (HORÁRIO),https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/001,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/circular-centro-horario-001/,
344,602,CIRCULAR SUL (ANTI-HORÁRIO),,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/circular-sul-anti-horario-602/,
343,502,CIRCULAR SUL (HORÁRIO),,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/circular-sul-horario-502/,
193,211,COLINA VERDE,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/colina-verde-211/,
367,607,COLOMBO / CIC,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/colombo-cic-607/,
113,778,COTOLENGO,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cotolengo-778/,
195,385,CRISTO REI,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cristo-rei-385/,
620,681,DALAGASSA,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/dalagassa-681/,
755,340,DETRAN / B. ALTO,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/detran-bairro-alto-340/,
141,380,DETRAN / VIC. MACHADO,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/detran-vicente-machado-380/,
221,662,DOM ÁTICO,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/dom-atico-662/,
2115,894,E. E. 29 DE MARÇO 1,-,,
2015,894,E. E. 29 DE MARÇO 1,-,,
2006,699,E. E. ALCINDO FANAYA 1,-,,
2106,699,E. E. ALCINDO FANAYA 1,-,,
2007,795,E. E. ALCINDO FANAYA 2,-,,
2107,795,E. E. ALCINDO FANAYA 2,-,,
1991,298,E. E. ALCINDO FANAYA 3,-,,
2091,298,E. E. ALCINDO FANAYA 3,-,,
1979,799,E. E. ALI BARK 1,-,,
2079,799,E. E. ALI BARK 1,-,,
2010,798,E. E. ALI BARK 2,-,,
2110,798,E. E. ALI BARK 2,-,,
2077,695,E. E. ALTO BOQUEIRÃO,-,,
1977,695,E. E. ALTO BOQUEIRÃO,-,,
1997,399,E. E. APAE 1,-,,
2097,399,E. E. APAE 1,-,,
2099,596,E. E. APAE 2,-,,
1999,596,E. E. APAE 2,-,,
2101,598,E. E. APAE 3,-,,
2001,598,E. E. APAE 3,-,,
2071,195,E. E. APAE 4,-,,
1971,195,E. E. APAE 4,-,,
2074,199,E. E. APAE 5,-,,
1974,199,E. E. APAE 5,-,,
1994,396,E. E. APAE 6,-,,
2094,396,E. E. APAE 6,-,,
1990,297,E. E. ATUBA,-,,
2090,297,E. E. ATUBA,-,,
2003,694,E. E. BAIRRO NOVO,-,,
2103,694,E. E. BAIRRO NOVO,-,,
2070,194,E. E. BARREIRINHA,-,,
1970,194,E. E. BARREIRINHA,-,,
2073,198,E. E. BOA VISTA,-,,
